PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,fluc-Phenotype,fluc-Potency,fluc-Efficacy,fluc-Analysis Comment,fluc-Activity_Score,fluc-Curve_Description,fluc-Fit_LogAC50,fluc-Fit_HillSlope,fluc-Fit_R2,fluc-Fit_InfiniteActivity,fluc-Fit_ZeroActivity,fluc-Fit_CurveClass,fluc-Excluded_Points,fluc-Max_Response,fluc-Activity at 0.0009730000 uM,fluc-Activity at 0.00292 uM,fluc-Activity at 0.00876 uM,fluc-Activity at 0.026 uM,fluc-Activity at 0.079 uM,fluc-Activity at 0.237 uM,fluc-Activity at 0.710 uM,fluc-Activity at 2.130 uM,fluc-Activity at 6.390 uM,fluc-Activity at 19.20 uM,fluc-Activity at 57.50 uM,nluc-Phenotype,nluc-Potency,nluc-Efficacy,nluc-Analysis Comment,nluc-Activity_Score,nluc-Curve_Description,nluc-Fit_LogAC50,nluc-Fit_HillSlope,nluc-Fit_R2,nluc-Fit_InfiniteActivity,nluc-Fit_ZeroActivity,nluc-Fit_CurveClass,nluc-Excluded_Points,nluc-Max_Response,nluc-Activity at 0.0009730000 uM,nluc-Activity at 0.00292 uM,nluc-Activity at 0.00876 uM,nluc-Activity at 0.026 uM,nluc-Activity at 0.079 uM,nluc-Activity at 0.237 uM,nluc-Activity at 0.710 uM,nluc-Activity at 2.130 uM,nluc-Activity at 6.390 uM,nluc-Activity at 19.20 uM,nluc-Activity at 57.50 uM
7,24390052,16013163,Active,89,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00115473-01/229331426,,Inhibitor,3.6913,-51.7916,89,Inhibitor,4.3225,55.4706,,22,Complete curve; partial efficacy,-5.3643,4.095,0.8964,-51.2484,4.2222,-1.2,0 0 0 0 0 0 0 0 0 0 0,-58.8182,-6.274,0,12.3423,16.738,14.5356,-5.3852,0.3278,0.3281,-42.609,-42.7813,-58.8182,Inhibitor,3.0601,49.3365,,22,Complete curve; partial efficacy,-5.5143,4.9549,0.8325,-46.9708,2.3656,-1.2,0 0 0 0 0 0 0 0 0 0 0,-44.7649,-13.1724,0,4.2774,14.7661,18.4917,-2.2447,-7.3387,-1.0623,-57.852,-37.8364,-44.7649
8,24411264,16031939,Active,89,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00135881-01/229331349,,Inhibitor,3.64295,-55.5806,89,Inhibitor,3.4335,41.3783,,22,Complete curve; partial efficacy,-5.4643,4.9549,0.965,-41.7519,-0.3735,-1.2,0 0 0 0 0 0 0 0 0 0 0,-42.4856,-3.7877,-2.9703,0,0.7874,0,2.6689,-2.7738,0,-46.0666,-35.386,-42.4856,Inhibitor,3.8524,63.4546,,63,Complete curve; partial efficacy,-5.4143,4.9549,0.9548,-60.9326,2.522,-1.2,0 0 0 0 0 0 0 0 0 0 0,-68.6755,0.2704,3.0702,0,0,16.1045,0,-2.9545,0,-58.3193,-51.5376,-68.6755
9,24270992,15990349,Active,88,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00107647-01/229331277,,Inhibitor,4.08745,-53.5044,88,Inhibitor,4.3225,43.1715,,22,Complete curve; partial efficacy,-5.3643,2.1876,0.8403,-41.38,1.7915,-1.2,0 0 0 0 0 0 0 0 0 0 0,-42.0702,-9.4228,0.973,0,3.8578,4.1878,-5.5316,20.0151,-11.3394,-26.1216,-39.7235,-42.0702,Inhibitor,3.8524,65.9585,,23,Complete curve; partial efficacy,-5.4143,1.8265,0.9008,-69.6795,-3.7209,-1.2,0 0 0 0 0 0 0 0 0 0 0,-64.9385,-22.5367,-3.7347,10.8098,-4.6653,3.7072,-13.2141,0,-20.9854,-49.9445,-71.3996,-64.9385
10,24401984,16023585,Active,88,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00126601-01/229330975,,Inhibitor,3.955,-52.8344,88,Inhibitor,3.0601,41.7956,,22,Complete curve; partial efficacy,-5.5143,4.9549,0.9832,-44.3287,-2.5331,-1.2,0 0 0 0 0 0 0 0 0 0 0,-40.2082,-1.9164,-0.1707,-5.1793,-2.5924,-0.4941,-1.0992,-5.6637,-8.0896,-43.7866,-48.4525,-40.2082,Inhibitor,4.8499,63.4636,,63,Complete curve; partial efficacy,-5.3143,4.4495,0.9559,-65.9431,-2.4794,-1.2,1 0 0 0 0 0 0 0 0 0 0,-65.4605,22.6058,-1.0555,-18.771,-1.5923,1.7441,-3.1048,3.1777,-0.5581,-50.5627,-66.6167,-65.4605
11,24270954,15990317,Active,87,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00107609-01/229330985,,Inhibitor,4.4376,-49.3246,87,Inhibitor,5.4417,42.2641,,22,Complete curve; partial efficacy,-5.2643,4.4495,0.8275,-42.3487,-0.0847,-1.2,0 0 0 0 0 0 0 0 0 0 0,-42.2009,4.8461,0,0,0,0,13.646,-20.9561,3.45,-30.3745,-40.9466,-42.2009,Inhibitor,3.4335,69.2954,,23,Complete curve; partial efficacy,-5.4643,4.095,0.8684,-60.2954,9,-1.2,0 0 0 0 0 0 0 0 0 0 0,-56.4482,5.8176,34.6519,0,0,9.7619,24.085,-10.9449,1.9131,-55.1802,-64.3722,-56.4482
12,24267484,2058614,Active,86,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00104139-01/229331461,,Inhibitor,4.5862,-101.822,86,Inhibitor,4.3225,69.4145,,23,Complete curve; partial efficacy,-5.3643,2.8473,0.8803,-67.3518,2.0627,-1.2,0 0 0 0 0 0 0 0 0 0 0,-64.5645,-4.5021,2.4245,-20.0073,8.0972,16.0043,-5.7641,19.9397,-9.7706,-50.1802,-69.4337,-64.5645,Inhibitor,4.8499,145.657,,85,Complete curve; high efficacy,-5.3143,1.6259,0.8998,-130.21,15.4468,-1.1,0 0 0 0 0 0 0 0 0 0 0,-139.08,-8.0448,5.5156,0,27.0455,54.0047,0,27.9698,-16.8718,-82.7217,-98.9153,-139.08
13,24417170,3151369,Active,86,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00141787-01/229331234,,Inhibitor,4.64705,-61.7639,86,Inhibitor,5.4417,60.3146,,22,Partial curve; partial efficacy,-5.2643,1,0.9005,-51.4588,8.8558,-2.2,0 0 0 0 0 0 0 0 0 0 0,-46.6323,0,14.9243,11.1797,0,20.4835,1.4207,8.7139,-14.8348,-21.1383,-37.976,-46.6323,Inhibitor,3.8524,77.3801,,63,Complete curve; partial efficacy,-5.4143,1.5095,0.8808,-70.7033,6.6768,-1.2,0 0 0 0 0 0 0 0 0 0 0,-76.8955,0,-8.8471,0,1.8884,15.3285,25.8251,12.0683,-28.3595,-42.22,-56.3652,-76.8955
14,24398534,16020241,Active,85,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00108700-01/229331066,,Inhibitor,5.1458,-129.689,85,Inhibitor,4.8499,106.7,,84,Complete curve; high efficacy,-5.3143,1.9282,0.9657,-104.9,1.7998,-1.1,0 0 0 0 0 0 0 0 0 0 0,-104.067,2.1065,-9.1882,4.193,12.7777,-9.4196,15.9164,-8.3279,-13.9052,-64.9951,-97.9035,-104.067,Inhibitor,5.4417,167.849,,86,Complete curve; high efficacy,-5.2643,1.3987,0.9246,-156.529,11.3197,-1.1,0 0 0 0 0 0 0 0 0 0 0,-155.31,0,-17.0355,29.3466,50.5038,0,0,2.4187,-16.8016,-88.9547,-124.681,-155.31
15,24386153,16009700,Active,83,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00111574-01/229331235,,Inhibitor,5.5866,-65.0954,83,Inhibitor,6.8507,77.7064,,22,Partial curve; partial efficacy,-5.1643,0.6,0.9187,-67.9066,9.7998,-2.2,0 0 0 0 0 0 0 0 0 0 0,-51.5059,14.4899,-1.2019,10.0758,12.0792,3.1654,6.4236,-17.4288,-6.9729,-31.9983,-39.7028,-51.5059,Inhibitor,4.3225,94.1429,,44,Partial curve; partial efficacy,-5.3643,0.8,0.9276,-86.6429,7.5,-2.2,0 1 0 0 0 0 0 0 0 0 0,-78.6849,9.6771,-22.8805,13.2712,-1.2257,6.7151,-11.0854,-7.2804,-15.0031,-62.5508,-54.6826,-78.6849
16,24391719,16014180,Active,83,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00117140-01/229331405,,Inhibitor,5.7695,-145.261,83,Inhibitor,3.8524,143.001,,46,Partial curve; high efficacy,-5.4143,0.6,0.927,-130.304,12.6976,-2.1,0 0 0 0 0 0 0 0 0 0 0,-107.341,0,9.9189,42.0416,-8.6866,-5.9199,-12.8638,-21.8,-46.2842,-69.7089,-89.9458,-107.341,Inhibitor,7.6866,219.817,,47,Partial curve; high efficacy,-5.1143,0.8,0.9641,-219.817,0,-2.1,0 0 0 0 0 0 0 0 0 0 0,-183.18,0,-2.5753,21.8249,-28.6136,-7.8265,1.9899,-41.38,-55.0073,-99.6525,-152.926,-183.18
17,24400833,16022448,Active,83,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00125450-01/229331423,,Inhibitor,5.7737,-115.698,83,Inhibitor,5.4417,97.946,,84,Complete curve; high efficacy,-5.2643,4.4495,0.9615,-94.9337,3.0123,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.1852,0,8.4865,-6.3699,-3.4965,0,0,0,23.3065,-59.1703,-95.3531,-97.1852,Inhibitor,6.1057,128.321,,84,Complete curve; high efficacy,-5.2143,3.5117,0.9679,-119.984,8.337,-1.1,0 0 0 0 0 0 0 0 0 0 0,-134.21,0,0,15.4447,9.6403,3.4939,13.8673,6.8022,17.3715,-64.9078,-100.579,-134.21
18,24400861,16022476,Active,83,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00125478-01/229331097,,Inhibitor,5.7737,-147.985,83,Inhibitor,6.1057,123.994,,84,Complete curve; high efficacy,-5.2143,3.132,0.9862,-120.659,3.3356,-1.1,0 0 0 0 0 0 0 0 0 0 0,-121.877,-3.9167,-4.9203,7.278,11.5469,6.8437,1.8637,0,7.5085,-69.2515,-113.545,-121.877,Inhibitor,5.4417,171.434,,87,Complete curve; high efficacy,-5.2643,3.5117,0.987,-172.352,-0.9183,-1.1,0 0 0 0 0 0 0 0 0 0 0,-174.093,-0.7289,-9.9108,-18.446,8.5779,0,9.5634,-2.0384,0.1032,-104.844,-171.818,-174.093
19,24390056,16013167,Active,82,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00115477-01/229331360,,Inhibitor,6.1462,-58.9538,82,Inhibitor,6.8507,54.2617,,22,Complete curve; partial efficacy,-5.1643,3.0654,0.8256,-58.2479,-3.9862,-1.2,0 0 0 0 0 0 0 0 0 0 0,-55.8386,-22.8151,3.9297,-14.0189,0,-6.39,-5.3295,16.7498,-3.431,-28.6771,-58.1117,-55.8386,Inhibitor,5.4417,61.7225,,22,Complete curve; partial efficacy,-5.2643,2.3332,0.9729,-64.8195,-3.097,-1.2,0 0 0 0 0 0 0 0 0 0 0,-62.069,-5.6726,2.5315,-6.3439,0,0,-11.9161,0,-10.8419,-40.0343,-63.4381,-62.069
20,24410872,2156271,Active,82,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00135489-01/229331225,,Inhibitor,6.1057,-49.1268,82,Inhibitor,6.1057,64.8818,,22,Complete curve; partial efficacy,-5.2143,0.8,0.8263,-55.3818,9.5,-1.2,0 0 0 0 0 0 0 0 0 0 0,-41.6424,0,9.8518,8.8637,29.4943,1.9928,0,-9.2812,0,-20.9879,-46.1515,-41.6424,Inhibitor,6.1057,58.6929,,22,Complete curve; partial efficacy,-5.2143,4.4495,0.9062,-59.4307,-0.7377,-1.2,0 0 0 0 0 0 0 0 0 0 0,-56.6112,0,11.661,0,0,0,-6.5009,-18.0465,8.8889,-36.2229,-60.7163,-56.6112
21,24413707,5012682,Active,82,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00138324-01/229331363,,Inhibitor,6.1057,-121.672,82,Inhibitor,6.1057,72.9019,,63,Complete curve; partial efficacy,-5.2143,3.132,0.8252,-79.6977,-6.7957,-1.2,0 0 0 0 0 0 0 0 0 0 0,-85.1471,0,0,-28.6837,0.5081,-33.2649,-6.7761,12.8104,-1.7397,-48.6442,-71.3165,-85.1471,Inhibitor,6.1057,167.036,,86,Complete curve; high efficacy,-5.2143,3.132,0.9687,-162.345,4.6908,-1.1,0 0 0 0 0 0 0 0 0 0 0,-158.196,12.0379,0.3691,-23.679,8.2078,6.1798,0,27.5289,0,-87.9574,-160.104,-158.196
22,24386231,16009772,Active,81,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00111652-01/229331025,,Inhibitor,6.4782,-122.372,81,Inhibitor,6.1057,102.163,,84,Complete curve; high efficacy,-5.2143,1.5386,0.9719,-102.7,-0.5369,-1.1,0 0 0 0 0 0 0 0 0 0 0,-101.885,-17.4814,1.2869,2.7067,-0.1521,0,5.5024,0,-15.6575,-57.1402,-82.7029,-101.885,Inhibitor,6.8507,142.164,,85,Complete curve; high efficacy,-5.1643,1.8079,0.9404,-138.859,3.3043,-1.1,0 0 0 0 0 0 0 0 0 0 0,-142.859,-26.9305,22.3575,0,-0.0698,4.9195,15.6363,2.189,-2.3732,-72.1145,-108.69,-142.859
23,24267366,3442518,Active,79,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00104021-01/229331645,,Inhibitor,6.89615,-143.391,79,Inhibitor,6.1057,96.4728,,84,Complete curve; high efficacy,-5.2143,2.4064,0.9203,-104.576,-8.1032,-1.1,0 0 0 0 0 0 0 0 0 0 0,-111.727,4.0338,-29.8693,-7.9305,2.5828,-24.1789,2.2165,-8.7673,-8.4315,-60.8236,-90.5917,-111.727,Inhibitor,7.6866,185.856,,85,Complete curve; high efficacy,-5.1143,1.8079,0.9509,-176.456,9.4009,-1.1,0 0 0 0 0 0 0 0 0 0 0,-175.055,12.9206,-11.2311,27.8794,7.2432,-1.2449,33.8529,-15.1129,8.4672,-77.2746,-139.202,-175.055
24,24389587,16012842,Active,79,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00115008-01/229331113,,Inhibitor,6.89615,-134.688,79,Inhibitor,6.1057,99.891,,84,Complete curve; high efficacy,-5.2143,3.0654,0.9106,-104.487,-4.5962,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.0609,-0.4122,3.3433,20.4,0,-27.9301,-13.0316,-13.9649,-8.6808,-57.6099,-110.921,-95.0609,Inhibitor,7.6866,157.786,,86,Complete curve; high efficacy,-5.1143,1.4641,0.9777,-181.985,-24.1985,-1.1,0 0 0 0 0 0 0 0 0 0 0,-174.315,-31.0325,-18.2205,-6.1518,-28.3724,-38.712,-29.6196,-32.4997,-40.0013,-93.8736,-148.269,-174.315
25,24392060,16014471,Active,78,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00117481-01/229331400,,Inhibitor,7.26865,-155.89,78,Inhibitor,6.8507,128.924,,84,Complete curve; high efficacy,-5.1643,1.6924,0.9697,-128.924,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-122.087,1.3154,7.3673,11.6921,-3.7986,7.324,-14.1359,-17.4116,-12.3734,-59.3755,-113.749,-122.087,Inhibitor,7.6866,183.433,,86,Complete curve; high efficacy,-5.1143,2.3332,0.974,-195.763,-12.33,-1.1,0 0 0 0 0 0 0 0 0 0 0,-189.693,-5.6262,-2.1657,0,-17.9133,-5.6678,-41.5449,-14.5889,-15.4903,-87.5554,-181.217,-189.693
